outcome	rank	cv_spearman	gamma	ridge	n_labels
af3	1	0.6777795006865571	0.06	0.3	147
af3	2	0.6760812171009377	0.1	0.3	147
af3	3	0.6747890858745043	0.06	0.1	147
af3	4	0.672835776388931	0.16	0.3	147
af3	5	0.6722048234216373	0.1	1.0	147
af3	6	0.6708427962078091	0.16	0.1	147
af3	7	0.6701022765575724	0.1	0.1	147
af3	8	0.6700040443590717	0.24	0.3	147
af3	9	0.669216297690325	0.06	1.0	147
af3	10	0.6679298337061126	0.24	0.1	147
af3	11	0.6650168712044162	0.16	1.0	147
af3	12	0.6576192310250106	0.36	0.3	147
af3	13	0.6560229577993729	0.36	0.1	147
af3	14	0.6555884692290809	0.24	0.03	147
af3	15	0.6555336858876093	0.06	0.03	147
af3	16	0.6545230276914955	0.24	1.0	147
af3	17	0.6530589901176855	0.16	0.03	147
af3	18	0.6529872050495504	0.36	0.03	147
af3	19	0.6515930634631354	0.1	0.03	147
af3	20	0.6365503135273319	0.36	1.0	147
protenix	1	0.6842105263157895	0.06	0.03	20
protenix	2	0.6210526315789473	0.1	0.03	20
protenix	3	0.5774436090225563	0.06	0.1	20
protenix	4	0.5097744360902255	0.1	0.1	20
protenix	5	0.4917293233082706	0.16	0.03	20
protenix	6	0.4766917293233082	0.06	0.3	20
protenix	7	0.47518796992481205	0.24	0.03	20
protenix	8	0.47218045112781953	0.1	0.3	20
protenix	9	0.4586466165413533	0.24	0.1	20
protenix	10	0.45563909774436084	0.16	0.1	20
protenix	11	0.4526315789473684	0.16	0.3	20
protenix	12	0.4300751879699248	0.1	1.0	20
protenix	13	0.4015037593984962	0.16	1.0	20
protenix	14	0.3954887218045112	0.24	0.3	20
protenix	15	0.38796992481203	0.06	1.0	20
protenix	16	0.3699248120300751	0.36	0.03	20
protenix	17	0.3383458646616541	0.36	0.1	20
protenix	18	0.33082706766917286	0.24	1.0	20
protenix	19	0.3157894736842105	0.36	0.3	20
protenix	20	0.24360902255639094	0.36	1.0	20
clean_fraction	1	0.06122534679565659	0.06	0.03	20
clean_fraction	2	0.029478870679390208	0.1	0.03	20
clean_fraction	3	-0.03174647611626638	0.1	0.1	20
clean_fraction	4	-0.03930516090585361	0.06	0.1	20
clean_fraction	5	-0.07180750550107873	0.16	0.03	20
clean_fraction	6	-0.0907042174750468	0.16	0.1	20
clean_fraction	7	-0.10204224465942766	0.16	0.3	20
clean_fraction	8	-0.11111266640693233	0.24	0.03	20
clean_fraction	9	-0.1232065620702719	0.06	0.3	20
clean_fraction	10	-0.1292535099019417	0.1	0.3	20
clean_fraction	11	-0.14512674796007488	0.24	0.1	20
clean_fraction	12	-0.20861970019260764	0.24	0.3	20
clean_fraction	13	-0.2464131241405438	0.36	0.03	20
clean_fraction	14	-0.2668215730724293	0.1	1.0	20
clean_fraction	15	-0.289497627441191	0.16	1.0	20
clean_fraction	16	-0.2917652328780672	0.06	1.0	20
clean_fraction	17	-0.3136854187678702	0.36	0.1	20
clean_fraction	18	-0.333337999220797	0.36	0.3	20
clean_fraction	19	-0.3794459764372791	0.24	1.0	20
clean_fraction	20	-0.3922957405795774	0.36	1.0	20
crossmodel_prolif	1	0.6856257356397295	0.06	0.03	20
crossmodel_prolif	2	0.6689585906849517	0.06	0.3	20
crossmodel_prolif	3	0.6492610557383959	0.1	0.1	20
crossmodel_prolif	4	0.6469882632445625	0.1	0.3	20
crossmodel_prolif	5	0.6371394957712846	0.06	0.1	20
crossmodel_prolif	6	0.6341091057795067	0.1	0.03	20
crossmodel_prolif	7	0.6257755333021179	0.16	0.3	20
crossmodel_prolif	8	0.6204723508165066	0.16	0.1	20
crossmodel_prolif	9	0.6181995583226734	0.1	1.0	20
crossmodel_prolif	10	0.6128963758370621	0.16	0.03	20
crossmodel_prolif	11	0.6128963758370621	0.24	0.1	20
crossmodel_prolif	12	0.6038052058617287	0.06	1.0	20
crossmodel_prolif	13	0.6022900108658398	0.24	0.03	20
crossmodel_prolif	14	0.5719861109480617	0.36	0.03	20
crossmodel_prolif	15	0.5613797459768394	0.36	0.1	20
crossmodel_prolif	16	0.559106953483006	0.24	0.3	20
crossmodel_prolif	17	0.5522885760015059	0.24	1.0	20
crossmodel_prolif	18	0.5462277960179504	0.36	0.3	20
crossmodel_prolif	19	0.5454701985200058	0.16	1.0	20
crossmodel_prolif	20	0.5144087011042833	0.36	1.0	20
