system	n_models	full_ss_ring_models	full_ss_ring_fraction	chemically_clean_models	chemically_clean_fraction	median_observed_ss_bonds	median_native_c74_c121_bonds	median_unexpected_ss_bonds	zero_interchain_ss_models	zero_interchain_ss_fraction	noncovalent_chemically_clean_models	noncovalent_chemically_clean_fraction	median_iptm
ova_body_c4_01	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.45
ova_body_c4_02	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.49
ova_body_c4_03	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.38
ova_body_c4_04	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.21
ova_body_c4_05	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.48
ova_body_c4_06	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.34
ova_body_c4_07	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.67
ova_body_c4_08	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.78
ova_body_c4_09	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.2
ova_body_c4_10	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.66
ova_body_c4_11	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.65
ova_body_c4_12	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.26
ova_body_c4_13	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.4
ova_body_c4_14	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.67
ova_body_c4_15	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.51
ova_body_c4_16	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.19
ova_body_c4_17	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.19
ova_body_c4_18	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.28
ova_body_c4_19	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.39
ova_body_c4_20	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.27
