system	n_models	full_ss_ring_models	full_ss_ring_fraction	chemically_clean_models	chemically_clean_fraction	median_observed_ss_bonds	median_native_c74_c121_bonds	median_unexpected_ss_bonds	zero_interchain_ss_models	zero_interchain_ss_fraction	noncovalent_chemically_clean_models	noncovalent_chemically_clean_fraction	median_iptm
ova_body_c4_01	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.67
ova_body_c4_02	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.29
ova_body_c4_03	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.78
ova_body_c4_04	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.8
ova_body_c4_05	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.82
ova_body_c4_06	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.81
ova_body_c4_07	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.52
ova_body_c4_08	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.34
ova_body_c4_09	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.8
ova_body_c4_10	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.4
ova_body_c4_11	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.79
ova_body_c4_12	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.37
ova_body_c4_13	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.35
ova_body_c4_14	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.36
ova_body_c4_15	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.74
ova_body_c4_16	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.23
ova_body_c4_17	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.21
ova_body_c4_18	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.24
ova_body_c4_19	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.42
ova_body_c4_20	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.81
ova_body_c4_21	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.32
ova_body_c4_22	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.65
ova_body_c4_23	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.31
ova_body_c4_24	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.76
ova_body_c4_25	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.34
ova_body_c4_26	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.79
ova_body_c4_27	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.81
ova_body_c4_28	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.73
ova_body_c4_29	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.4
ova_body_c4_30	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.77
ova_body_c4_31	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.36
ova_body_c4_32	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.45
ova_body_c4_33	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.73
ova_body_c4_34	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.24
ova_body_c4_35	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.23
ova_body_c4_36	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.27
ova_body_c4_37	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.46
ova_body_c4_38	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.82
ova_body_c4_39	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.2
ova_body_c4_40	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.31
ova_body_c4_41	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.68
ova_body_c4_42	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.77
ova_body_c4_43	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.38
ova_body_c4_44	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.28
ova_body_c4_45	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.37
ova_body_c4_46	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.32
ova_body_c4_47	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.8
ova_body_c4_48	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.81
ova_body_c4_49	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.41
ova_body_c4_50	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.31
ova_body_c4_51	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.82
ova_body_c4_52	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.39
ova_body_c4_53	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.32
ova_body_c4_54	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.84
ova_body_c4_55	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.77
ova_body_c4_56	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.8
ova_body_c4_57	5	0	0.0	0	0.0	0.0	4.0	0.0	5	1.0	5	1.0	0.8
