system	kind	n_chains	n_models	expected_models	complete	median_iptm	max_iptm	median_ptm	median_min_ova_plddt	median_min_module_plddt	median_min_binder_plddt	median_min_incident_iptm	median_contact_pair_iptm	median_contact_pair_pae	median_total_contacts	median_ova_contacts	median_module_contacts	full_connected_fraction	module_connected_fraction	unclashed_fraction	median_interface_jaccard	best_model	best_iptm	best_min_incident_iptm	best_cif
ova_body_c4_01	ova_body_c4_candidate	4	5	5	1	0.84	0.85	0.87	90.24	nan	nan	0.83	0.8	2.395	186.0	186.0	0.0	1.0	0.0	1.0	0.8181	seed-1_sample-2	0.85	0.83	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
ova_body_c4_09	ova_body_c4_candidate	4	5	5	1	0.28	0.3	0.45	83.98	nan	nan	0.31	0.225	18.84	362.0	362.0	0.0	1.0	0.0	1.0	0.7325	seed-1_sample-3	0.3	0.33	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_09/seed-1_sample-3/ova_body_c4_09_seed-1_sample-3_model.cif
ova_body_c4_17	ova_body_c4_candidate	4	5	5	1	0.31	0.42	0.47	83.41	nan	nan	0.38	0.28	16.58	343.0	343.0	0.0	1.0	0.0	1.0	0.7219	seed-1_sample-2	0.42	0.47	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_17/seed-1_sample-2/ova_body_c4_17_seed-1_sample-2_model.cif
ova_body_c4_25	ova_body_c4_candidate	4	5	5	1	0.82	0.83	0.85	90.36	nan	nan	0.78	0.77	3.26	201.0	201.0	0.0	1.0	0.0	1.0	0.9149	seed-1_sample-4	0.83	0.79	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_25/seed-1_sample-4/ova_body_c4_25_seed-1_sample-4_model.cif
ova_body_c4_33	ova_body_c4_candidate	4	5	5	1	0.37	0.4	0.51	86.3	nan	nan	0.44	0.325	15.84	351.0	351.0	0.0	1.0	0.0	1.0	0.6619	seed-1_sample-2	0.4	0.48	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_33/seed-1_sample-2/ova_body_c4_33_seed-1_sample-2_model.cif
ova_body_c4_41	ova_body_c4_candidate	4	5	5	1	0.81	0.82	0.85	89.71	nan	nan	0.78	0.76	2.75	178.0	178.0	0.0	1.0	0.0	1.0	0.8488	seed-1_sample-1	0.82	0.78	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_41/seed-1_sample-1/ova_body_c4_41_seed-1_sample-1_model.cif
ova_body_c4_49	ova_body_c4_candidate	4	5	5	1	0.3	0.35	0.46	85.75	nan	nan	0.28	0.225	19.075	213.0	213.0	0.0	1.0	0.0	1.0	0.6156	seed-1_sample-4	0.35	0.33	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_49/seed-1_sample-4/ova_body_c4_49_seed-1_sample-4_model.cif
ova_body_c4_57	ova_body_c4_candidate	4	5	5	1	0.38	0.41	0.52	86.37	nan	nan	0.35	0.32	13.455	187.0	187.0	0.0	1.0	0.0	1.0	0.6764	seed-1_sample-2	0.41	0.4	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_57/seed-1_sample-2/ova_body_c4_57_seed-1_sample-2_model.cif
ova_body_c4_65	ova_body_c4_candidate	4	5	5	1	0.81	0.82	0.84	90.01	nan	nan	0.78	0.76	3.14	197.0	197.0	0.0	1.0	0.0	1.0	0.95	seed-1_sample-1	0.82	0.78	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_65/seed-1_sample-1/ova_body_c4_65_seed-1_sample-1_model.cif
ova_body_c4_73	ova_body_c4_candidate	4	5	5	1	0.85	0.85	0.88	90.91	nan	nan	0.82	0.81	2.36	208.0	208.0	0.0	1.0	0.0	1.0	0.975	seed-1_sample-4	0.85	0.83	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_73/seed-1_sample-4/ova_body_c4_73_seed-1_sample-4_model.cif
ova_body_c4_81	ova_body_c4_candidate	4	5	5	1	0.84	0.85	0.87	89.99	nan	nan	0.81	0.8	2.41	171.0	171.0	0.0	1.0	0.0	1.0	0.924	seed-1_sample-4	0.85	0.82	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_81/seed-1_sample-4/ova_body_c4_81_seed-1_sample-4_model.cif
ova_body_c4_89	ova_body_c4_candidate	4	5	5	1	0.79	0.8	0.83	89.52	nan	nan	0.76	0.74	3.44	171.0	171.0	0.0	1.0	0.0	1.0	0.8752	seed-1_sample-0	0.8	0.77	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_89/seed-1_sample-0/ova_body_c4_89_seed-1_sample-0_model.cif
ova_body_c4_97	ova_body_c4_candidate	4	5	5	1	0.84	0.85	0.87	90.37	nan	nan	0.81	0.8	2.285	188.0	188.0	0.0	1.0	0.0	1.0	0.8391	seed-1_sample-4	0.85	0.81	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_97/seed-1_sample-4/ova_body_c4_97_seed-1_sample-4_model.cif
ova_body_c4_105	ova_body_c4_candidate	4	5	5	1	0.81	0.82	0.85	89.98	nan	nan	0.78	0.765	2.985	180.0	180.0	0.0	1.0	0.0	1.0	0.95	seed-1_sample-4	0.82	0.78	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_105/seed-1_sample-4/ova_body_c4_105_seed-1_sample-4_model.cif
ova_body_c4_113	ova_body_c4_candidate	4	5	5	1	0.51	0.52	0.62	87.59	nan	nan	0.51	0.39	12.82	170.0	170.0	0.0	1.0	0.0	1.0	0.7842	seed-1_sample-3	0.52	0.52	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_113/seed-1_sample-3/ova_body_c4_113_seed-1_sample-3_model.cif
ova_body_c4_121	ova_body_c4_candidate	4	5	5	1	0.83	0.83	0.86	90.18	nan	nan	0.79	0.785	2.63	199.0	199.0	0.0	1.0	0.0	1.0	0.9512	seed-1_sample-3	0.83	0.8	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_121/seed-1_sample-3/ova_body_c4_121_seed-1_sample-3_model.cif
