candidate	gate_opendde_10_seeds	mean_iptm
OVA-C4-IPTM80-20A	1	0.33944062888622284
OVA-C4-IPTM80-21B	1	0.33754226565361023
OVA-C4-IPTM80-20D	1	0.34775862991809847
OVA-C4-IPTM80-21C	1	0.3785310655832291
OVA-C4-IPTM80-21E	1	0.4260006040334702
OVA-C4-IPTM80-19K	1	0.5723402976989747
OVA-C4-IPTM80-19F	1	0.26783355623483657
OVA-C4-IPTM80-19L	1	0.341769278049469
OVA-C4-IPTM80-21H	1	0.35981703400611875
OVA-C4-IPTM80-21G	1	0.3383094608783722
OVA-C4-IPTM80-21I	1	0.29065777361392975
OVA-C4-IPTM80-19J	1	0.36884728670120237
OVA-C4-IPTM80-20N	1	0.35491185784339907
OVA-C4-IPTM80-19R	1	0.2825286716222763
OVA-C4-IPTM80-20O	1	0.34609986245632174
OVA-C4-IPTM80-21M	1	0.3386699169874191
OVA-C4-IPTM80-21P	1	0.40636003017425537
OVA-C4-IPTM80-20T	1	0.2687031030654907
OVA-C4-IPTM80-21S	1	0.3459427744150162
OVA-C4-IPTM80-22Q	1	0.3562158852815628
ova_body_c4_multihit11_ms	1	0.2693526491522789
ova_body_c4_073_ms	1	0.2780250936746597
