candidate	seed	model	iptm	min_incident_iptm	contact_pair_pae_median	cif_path
ova_body_c4_multihit11_ms	1	seed-1_sample-0	0.84	0.81	2.495	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s2/ova_body_c4_11/seed-1_sample-0/ova_body_c4_11_seed-1_sample-0_model.cif
ova_body_c4_multihit11_ms	1	seed-1_sample-1	0.84	0.81	2.48	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s2/ova_body_c4_11/seed-1_sample-1/ova_body_c4_11_seed-1_sample-1_model.cif
ova_body_c4_multihit11_ms	1	seed-1_sample-2	0.84	0.82	2.5149999999999997	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s2/ova_body_c4_11/seed-1_sample-2/ova_body_c4_11_seed-1_sample-2_model.cif
ova_body_c4_multihit11_ms	1	seed-1_sample-3	0.84	0.81	2.49	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s2/ova_body_c4_11/seed-1_sample-3/ova_body_c4_11_seed-1_sample-3_model.cif
ova_body_c4_multihit11_ms	1	seed-1_sample-4	0.84	0.81	2.45	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s2/ova_body_c4_11/seed-1_sample-4/ova_body_c4_11_seed-1_sample-4_model.cif
ova_body_c4_multihit11_ms	2	seed-2_sample-0	0.84	0.81	2.455	experiments/e186_c4_multihit11_multiseed/out_s0/ova_body_c4_multihit11_ms/seed-2_sample-0/ova_body_c4_multihit11_ms_seed-2_sample-0_model.cif
ova_body_c4_multihit11_ms	2	seed-2_sample-1	0.84	0.81	2.465	experiments/e186_c4_multihit11_multiseed/out_s0/ova_body_c4_multihit11_ms/seed-2_sample-1/ova_body_c4_multihit11_ms_seed-2_sample-1_model.cif
ova_body_c4_multihit11_ms	2	seed-2_sample-2	0.83	0.81	2.49	experiments/e186_c4_multihit11_multiseed/out_s0/ova_body_c4_multihit11_ms/seed-2_sample-2/ova_body_c4_multihit11_ms_seed-2_sample-2_model.cif
ova_body_c4_multihit11_ms	2	seed-2_sample-3	0.84	0.81	2.415	experiments/e186_c4_multihit11_multiseed/out_s0/ova_body_c4_multihit11_ms/seed-2_sample-3/ova_body_c4_multihit11_ms_seed-2_sample-3_model.cif
ova_body_c4_multihit11_ms	2	seed-2_sample-4	0.84	0.8	2.51	experiments/e186_c4_multihit11_multiseed/out_s0/ova_body_c4_multihit11_ms/seed-2_sample-4/ova_body_c4_multihit11_ms_seed-2_sample-4_model.cif
ova_body_c4_multihit11_ms	3	seed-3_sample-0	0.85	0.82	2.355	experiments/e186_c4_multihit11_multiseed/out_s1/ova_body_c4_multihit11_ms/seed-3_sample-0/ova_body_c4_multihit11_ms_seed-3_sample-0_model.cif
ova_body_c4_multihit11_ms	3	seed-3_sample-1	0.85	0.82	2.3449999999999998	experiments/e186_c4_multihit11_multiseed/out_s1/ova_body_c4_multihit11_ms/seed-3_sample-1/ova_body_c4_multihit11_ms_seed-3_sample-1_model.cif
ova_body_c4_multihit11_ms	3	seed-3_sample-2	0.85	0.82	2.36	experiments/e186_c4_multihit11_multiseed/out_s1/ova_body_c4_multihit11_ms/seed-3_sample-2/ova_body_c4_multihit11_ms_seed-3_sample-2_model.cif
ova_body_c4_multihit11_ms	3	seed-3_sample-3	0.85	0.82	2.425	experiments/e186_c4_multihit11_multiseed/out_s1/ova_body_c4_multihit11_ms/seed-3_sample-3/ova_body_c4_multihit11_ms_seed-3_sample-3_model.cif
ova_body_c4_multihit11_ms	3	seed-3_sample-4	0.84	0.82	2.43	experiments/e186_c4_multihit11_multiseed/out_s1/ova_body_c4_multihit11_ms/seed-3_sample-4/ova_body_c4_multihit11_ms_seed-3_sample-4_model.cif
ova_body_c4_multihit11_ms	4	seed-4_sample-0	0.85	0.82	2.38	experiments/e186_c4_multihit11_multiseed/out_s2/ova_body_c4_multihit11_ms/seed-4_sample-0/ova_body_c4_multihit11_ms_seed-4_sample-0_model.cif
ova_body_c4_multihit11_ms	4	seed-4_sample-1	0.84	0.81	2.46	experiments/e186_c4_multihit11_multiseed/out_s2/ova_body_c4_multihit11_ms/seed-4_sample-1/ova_body_c4_multihit11_ms_seed-4_sample-1_model.cif
ova_body_c4_multihit11_ms	4	seed-4_sample-2	0.84	0.81	2.505	experiments/e186_c4_multihit11_multiseed/out_s2/ova_body_c4_multihit11_ms/seed-4_sample-2/ova_body_c4_multihit11_ms_seed-4_sample-2_model.cif
