candidate	source_model	nrelax	production_ensemble_complete	topology_retained_fraction	zero_clash_fraction	zero_overlap_fraction	median_weakest_sc	median_weakest_hbonds	median_worst_dG_dSASA_x100	median_worst_unsat_per_1000A2	max_chain_ca_rmsd_to_input	gate_rosetta_ensemble_100	gate_rosetta_topology_ge0p90	gate_rosetta_zero_clash_fraction_ge0p90	gate_rosetta_zero_overlap_fraction_ge0p90	gate_rosetta_weakest_sc_ge0p60	gate_rosetta_weakest_hbonds_ge3	gate_rosetta_dG_dSASA_le_minus1	gate_rosetta_unsat_per_1000A2_le2	gate_rosetta_chain_rmsd_le2	rosetta_pass	failed_rosetta_gates
OVA-C4-IPTM80-19F	AF3	1	0	1	1	1	0.5919440388679504	0.0	-1.9713692665100098	6.718961710448182	0.23476874246149182	0	1	1	1	0	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_sc_ge0p60;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-19J	AF3	1	0	1	1	1	0.6321703195571899	5.0	-2.850170135498047	7.847113477335975	0.3529492076706526	0	1	1	1	1	1	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-19K	AF3	1	0	1	1	1	0.5543674230575562	0.0	-1.9327024221420288	11.092425856251749	0.32475236807797775	0	1	1	1	0	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_sc_ge0p60;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-19L	AF3	1	0	1	1	1	0.5563333630561829	1.0	-2.2106518745422363	7.457430086023987	0.3424633955871286	0	1	1	1	0	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_sc_ge0p60;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-19R	AF3	1	0	1	1	1	0.654122531414032	4.0	-1.844133734703064	5.972140149499298	0.398363491789158	0	1	1	1	1	1	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-20A	AF3	1	0	1	1	1	0.6027950048446655	0.0	-2.0692832469940186	8.721051957966537	0.1966927258631482	0	1	1	1	1	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-20D	AF3	1	0	1	1	1	0.6531163454055786	2.0	-1.9498225450515747	12.908916656964413	0.30434891913164397	0	1	1	1	1	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-20N	AF3	1	0	1	1	1	0.5875129103660583	2.0	-2.164093017578125	4.492777036694512	0.29385100457947966	0	1	1	1	0	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_sc_ge0p60;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-20O	AF3	1	0	1	1	1	0.5511492490768433	4.0	-1.3588441610336304	11.168976519517381	0.2649595744673145	0	1	1	1	0	1	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_sc_ge0p60;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-20T	AF3	1	0	1	1	1	0.45043566823005676	0.0	-1.9425642490386963	8.380348328687244	0.2805677932714734	0	1	1	1	0	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_sc_ge0p60;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
