system	model	n_chains	iptm	ptm	min_ova_plddt	min_module_plddt	min_binder_plddt	ranking_score	has_clash	contact_edges	largest_component	full_connected	module_full_connected	total_contacts	ova_contacts	module_contacts	min_incident_iptm	contact_pair_iptm_median	contact_pair_pae_median	contacts_json	interface_residues_json	summary_path	cif_path
ova_body_c4_01	seed-1_sample-0	4	0.66	0.73	88.61784972551573	nan	nan	0.68	0.0	6	4	1	0	237	237	0	0.66	0.61	6.17	"{""A-B"": 12, ""A-C"": 45, ""A-D"": 62, ""B-C"": 61, ""B-D"": 45, ""C-D"": 12}"	[83, 86, 87, 90, 96, 97, 98, 99, 182, 184, 187, 190, 191, 192, 193, 214, 215, 216, 217, 236, 271, 272, 278, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 354, 373, 374]	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_summary_confidences.json	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif
ova_body_c4_01	seed-1_sample-1	4	0.64	0.72	88.50979263424256	nan	nan	0.66	0.0	6	4	1	0	262	262	0	0.64	0.58	6.87	"{""A-B"": 12, ""A-C"": 45, ""A-D"": 72, ""B-C"": 72, ""B-D"": 49, ""C-D"": 12}"	[86, 87, 90, 94, 95, 96, 97, 98, 99, 182, 184, 187, 190, 191, 192, 193, 215, 216, 217, 218, 236, 238, 271, 272, 278, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 353, 354, 355, 373, 374]	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_summary_confidences.json	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
ova_body_c4_01	seed-1_sample-2	4	0.7	0.76	88.88660608795641	nan	nan	0.71	0.0	6	4	1	0	216	216	0	0.7	0.63	5.6850000000000005	"{""A-B"": 15, ""A-C"": 51, ""A-D"": 42, ""B-C"": 43, ""B-D"": 52, ""C-D"": 13}"	[82, 83, 86, 87, 90, 94, 95, 96, 97, 98, 99, 182, 184, 187, 190, 191, 192, 193, 215, 216, 217, 236, 238, 271, 272, 278, 337, 338, 339, 340, 342, 343, 344, 345, 346, 347, 348, 350, 351, 353, 354, 355, 373, 374]	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_summary_confidences.json	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
ova_body_c4_01	seed-1_sample-3	4	0.67	0.74	88.88121756123755	nan	nan	0.69	0.0	6	4	1	0	251	251	0	0.67	0.615	6.035	"{""A-B"": 12, ""A-C"": 49, ""A-D"": 65, ""B-C"": 65, ""B-D"": 49, ""C-D"": 11}"	[86, 87, 90, 94, 95, 96, 97, 98, 99, 182, 184, 187, 190, 191, 192, 193, 215, 216, 217, 236, 238, 271, 272, 278, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 353, 354, 355, 373, 374]	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_summary_confidences.json	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif
ova_body_c4_01	seed-1_sample-4	4	0.7	0.76	88.68668390185104	nan	nan	0.71	0.0	6	4	1	0	262	262	0	0.7	0.635	5.635	"{""A-B"": 14, ""A-C"": 47, ""A-D"": 71, ""B-C"": 71, ""B-D"": 45, ""C-D"": 14}"	[82, 83, 86, 90, 94, 95, 96, 97, 98, 99, 182, 184, 187, 190, 191, 192, 193, 215, 216, 217, 236, 238, 271, 272, 278, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 353, 354, 355, 373, 374]	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_summary_confidences.json	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
ova_body_c4_02	seed-1_sample-0	4	0.29	0.45	85.94111394141005	nan	nan	0.32	0.0	4	4	1	0	347	347	0	0.38	0.27	18.880000000000003	"{""A-B"": 123, ""A-C"": 50, ""A-D"": 1, ""B-C"": 1, ""B-D"": 52, ""C-D"": 120}"	[1, 2, 3, 4, 64, 65, 68, 69, 70, 71, 72, 73, 74, 78, 79, 82, 83, 85, 86, 90, 94, 95, 96, 97, 124, 125, 131, 145, 148, 149, 152, 153, 155, 156, 182, 184, 186, 191, 192, 194, 210, 216, 217, 219, 234, 236, 237, 238, 239, 241, 266, 271, 275, 276, 277, 278, 334, 336, 337, 338, 340, 346, 347, 348, 349, 350, 351, 354, 355, 372, 373, 375]	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_summary_confidences.json	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_model.cif
ova_body_c4_02	seed-1_sample-1	4	0.29	0.45	85.85461147585063	nan	nan	0.32	0.0	4	4	1	0	318	318	0	0.36	0.265	18.735	"{""A-B"": 115, ""A-C"": 39, ""A-D"": 0, ""B-C"": 0, ""B-D"": 46, ""C-D"": 118}"	[1, 2, 3, 4, 64, 65, 68, 69, 70, 71, 72, 73, 78, 79, 82, 83, 86, 89, 90, 94, 95, 96, 97, 131, 145, 148, 149, 152, 153, 155, 156, 182, 184, 186, 191, 192, 194, 210, 216, 217, 219, 234, 237, 238, 239, 241, 266, 271, 275, 276, 277, 278, 334, 336, 337, 338, 341, 343, 348, 349, 350, 351, 354, 355, 372, 373, 375]	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_summary_confidences.json	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_model.cif
ova_body_c4_02	seed-1_sample-2	4	0.29	0.45	85.84888581784895	nan	nan	0.32	0.0	4	4	1	0	303	303	0	0.35	0.26	18.715	"{""A-B"": 115, ""A-C"": 39, ""A-D"": 0, ""B-C"": 0, ""B-D"": 35, ""C-D"": 114}"	[1, 2, 3, 4, 64, 65, 68, 69, 70, 71, 72, 73, 74, 78, 79, 82, 83, 86, 90, 93, 94, 95, 96, 97, 124, 145, 148, 149, 152, 153, 155, 156, 182, 184, 186, 191, 192, 194, 216, 217, 219, 234, 237, 238, 239, 241, 266, 270, 271, 275, 276, 277, 278, 336, 337, 338, 341, 346, 347, 348, 349, 350, 351, 354, 355, 372, 373, 375]	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_summary_confidences.json	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_model.cif
ova_body_c4_02	seed-1_sample-3	4	0.29	0.45	85.7741451065775	nan	nan	0.32	0.0	4	4	1	0	322	322	0	0.36	0.265	19.135	"{""A-B"": 123, ""A-C"": 39, ""A-D"": 0, ""B-C"": 1, ""B-D"": 42, ""C-D"": 117}"	[1, 2, 3, 4, 64, 65, 68, 69, 70, 71, 72, 73, 74, 78, 79, 82, 83, 85, 86, 89, 90, 93, 94, 95, 96, 97, 124, 131, 145, 148, 149, 152, 153, 155, 156, 182, 186, 191, 192, 194, 210, 217, 234, 237, 238, 239, 241, 266, 270, 271, 275, 276, 277, 278, 334, 336, 337, 338, 340, 341, 343, 347, 348, 349, 350, 351, 354, 355, 372, 373, 375]	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_summary_confidences.json	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_model.cif
ova_body_c4_02	seed-1_sample-4	4	0.29	0.45	85.74911909152807	nan	nan	0.32	0.0	4	4	1	0	337	337	0	0.36	0.26	18.91	"{""A-B"": 110, ""A-C"": 54, ""A-D"": 1, ""B-C"": 1, ""B-D"": 58, ""C-D"": 113}"	[1, 2, 3, 4, 64, 65, 68, 70, 71, 72, 73, 74, 78, 79, 82, 83, 86, 89, 90, 93, 94, 95, 96, 97, 124, 131, 144, 145, 148, 149, 151, 152, 153, 155, 156, 182, 184, 186, 189, 191, 192, 194, 196, 210, 217, 234, 237, 238, 239, 241, 266, 271, 275, 276, 277, 278, 334, 336, 337, 338, 340, 341, 348, 349, 350, 351, 354, 355, 372, 373, 375]	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_summary_confidences.json	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_model.cif
