system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path
ova_body_c4_01	seed-1_sample-0	0.86	0.88	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	4,8	1	234	45	11	0.6875	191,271,278,342,343,345,346,347,349,350,354	4	0	90.86485100780745	90.81779779424322	1.5524652748841723	1.5597594185729877	/root/400083/ova_p3_tetramer_design/experiments/e322_c4_e321_next_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif
ova_body_c4_01	seed-1_sample-1	0.86	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,4,8	1	235	46	11	0.6875	191,271,278,342,343,345,346,347,349,350,354	4	0	90.40268131858944	90.36370469127912	1.5787128269556203	1.587965960207542	/root/400083/ova_p3_tetramer_design/experiments/e322_c4_e321_next_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
ova_body_c4_01	seed-1_sample-2	0.86	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,4,9	1	246	46	12	0.75	191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.30213079798406	90.23816053360855	1.5459422456921705	1.5501747840286257	/root/400083/ova_p3_tetramer_design/experiments/e322_c4_e321_next_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
ova_body_c4_01	seed-1_sample-3	0.86	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,8	1	250	50	12	0.75	191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.25895729460247	90.20106218762966	1.5842974859160155	1.588027458206627	/root/400083/ova_p3_tetramer_design/experiments/e322_c4_e321_next_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif
ova_body_c4_01	seed-1_sample-4	0.86	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,4,8	1	230	43	11	0.6875	191,271,278,342,343,345,346,347,349,350,354	4	0	90.52489635487294	90.48031093419524	1.5502105368837167	1.5546026216432098	/root/400083/ova_p3_tetramer_design/experiments/e322_c4_e321_next_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
ova_body_c4_02	seed-1_sample-0	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,8,7	1	240	46	13	0.6842105263157895	99,191,271,278,340,342,343,345,346,347,349,350,354	4	0	90.05075786274332	89.97924888689901	1.5960474888626837	1.5983390445079797	/root/400083/ova_p3_tetramer_design/experiments/e322_c4_e321_next_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_model.cif
ova_body_c4_02	seed-1_sample-1	0.84	0.87	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	10,7	1	249	47	15	0.7894736842105263	99,191,271,276,278,340,342,343,345,346,347,349,350,354,356	4	0	89.99675511819711	89.93544034019035	1.6021934816649763	1.606579280496855	/root/400083/ova_p3_tetramer_design/experiments/e322_c4_e321_next_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_model.cif
ova_body_c4_02	seed-1_sample-2	0.84	0.87	2	0	2	2	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,9,7	1	262	49	14	0.7368421052631579	99,191,271,276,278,340,342,343,345,346,347,349,350,354	4	0	90.4489117879324	90.4020205285265	1.5867045355416047	1.5922992324510732	/root/400083/ova_p3_tetramer_design/experiments/e322_c4_e321_next_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_model.cif
ova_body_c4_02	seed-1_sample-3	0.85	0.87	4	0	4	4	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,9,7	1	253	49	14	0.7368421052631579	99,191,271,278,340,342,343,345,346,347,349,350,354,356	4	0	90.05563465918902	89.98606207457232	1.6053281672293702	1.6070406630783574	/root/400083/ova_p3_tetramer_design/experiments/e322_c4_e321_next_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_model.cif
ova_body_c4_02	seed-1_sample-4	0.84	0.87	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	8,7	1	246	47	13	0.6842105263157895	99,191,271,278,340,342,343,345,346,347,349,350,354	4	0	90.16308944089425	90.11761673250346	1.6930567395999585	1.7078755879328549	/root/400083/ova_p3_tetramer_design/experiments/e322_c4_e321_next_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_model.cif
