name	shard	kind	n_chains	chain_ids	chain_length	ova_ranges	module_ranges	architecture	seeds	expected_samples	description	input_json
p3_pli_c_f00	0	tetramer_candidate	4	ABCD	419,419,419,419	1-386;1-386;1-386;1-386	387-419;387-419;387-419;387-419	P3-f00-pli	3	15	Four-chain P3-f00-pli; 419 aa per chain	experiments/e02_tetramer_screen1/in_s0/p3_pli_c_f00.json
p3_pli_c_f05	1	tetramer_candidate	4	ABCD	424,424,424,424	1-386;1-386;1-386;1-386	392-424;392-424;392-424;392-424	P3-f05-pli	3	15	Four-chain P3-f05-pli; 424 aa per chain	experiments/e02_tetramer_screen1/in_s1/p3_pli_c_f05.json
p3_pli_c_f10	2	tetramer_candidate	4	ABCD	429,429,429,429	1-386;1-386;1-386;1-386	397-429;397-429;397-429;397-429	P3-f10-pli	3	15	Four-chain P3-f10-pli; 429 aa per chain	experiments/e02_tetramer_screen1/in_s2/p3_pli_c_f10.json
p3_pli_c_f15	3	tetramer_candidate	4	ABCD	434,434,434,434	1-386;1-386;1-386;1-386	402-434;402-434;402-434;402-434	P3-f15-pli	3	15	Four-chain P3-f15-pli; 434 aa per chain	experiments/e02_tetramer_screen1/in_s3/p3_pli_c_f15.json
p3_pli_c_f20	4	tetramer_candidate	4	ABCD	439,439,439,439	1-386;1-386;1-386;1-386	407-439;407-439;407-439;407-439	P3-f20-pli	3	15	Four-chain P3-f20-pli; 439 aa per chain	experiments/e02_tetramer_screen1/in_s4/p3_pli_c_f20.json
p3_pli_c_h10	5	tetramer_candidate	4	ABCD	429,429,429,429	1-386;1-386;1-386;1-386	397-429;397-429;397-429;397-429	P3-h10-pli	3	15	Four-chain P3-h10-pli; 429 aa per chain	experiments/e02_tetramer_screen1/in_s5/p3_pli_c_h10.json
p3_pli_c_h15	6	tetramer_candidate	4	ABCD	434,434,434,434	1-386;1-386;1-386;1-386	402-434;402-434;402-434;402-434	P3-h15-pli	3	15	Four-chain P3-h15-pli; 434 aa per chain	experiments/e02_tetramer_screen1/in_s6/p3_pli_c_h15.json
p3_pli_n_f10	7	tetramer_candidate	4	ABCD	429,429,429,429	44-429;44-429;44-429;44-429	1-33;1-33;1-33;1-33	pli-f10-P3	3	15	Four-chain pli-f10-P3; 429 aa per chain	experiments/e02_tetramer_screen1/in_s7/p3_pli_n_f10.json
p3_pli_n_f20	0	tetramer_candidate	4	ABCD	439,439,439,439	54-439;54-439;54-439;54-439	1-33;1-33;1-33;1-33	pli-f20-P3	3	15	Four-chain pli-f20-P3; 439 aa per chain	experiments/e02_tetramer_screen1/in_s0/p3_pli_n_f20.json
p3_cct_c_f00	1	tetramer_candidate	4	ABCD	418,418,418,418	1-386;1-386;1-386;1-386	387-418;387-418;387-418;387-418	P3-f00-cct	3	15	Four-chain P3-f00-cct; 418 aa per chain	experiments/e02_tetramer_screen1/in_s1/p3_cct_c_f00.json
p3_cct_c_f10	2	tetramer_candidate	4	ABCD	428,428,428,428	1-386;1-386;1-386;1-386	397-428;397-428;397-428;397-428	P3-f10-cct	3	15	Four-chain P3-f10-cct; 428 aa per chain	experiments/e02_tetramer_screen1/in_s2/p3_cct_c_f10.json
p3_cct_c_f20	3	tetramer_candidate	4	ABCD	438,438,438,438	1-386;1-386;1-386;1-386	407-438;407-438;407-438;407-438	P3-f20-cct	3	15	Four-chain P3-f20-cct; 438 aa per chain	experiments/e02_tetramer_screen1/in_s3/p3_cct_c_f20.json
p3_cct_n_f10	4	tetramer_candidate	4	ABCD	428,428,428,428	43-428;43-428;43-428;43-428	1-32;1-32;1-32;1-32	cct-f10-P3	3	15	Four-chain cct-f10-P3; 428 aa per chain	experiments/e02_tetramer_screen1/in_s4/p3_cct_n_f10.json
p3_cct_n_f20	5	tetramer_candidate	4	ABCD	438,438,438,438	53-438;53-438;53-438;53-438	1-32;1-32;1-32;1-32	cct-f20-P3	3	15	Four-chain cct-f20-P3; 438 aa per chain	experiments/e02_tetramer_screen1/in_s5/p3_cct_n_f20.json
