candidate	n_seeds	seeds	mean_iptm	median_iptm	min_iptm	mean_min_incident_iptm	mean_ptm	mean_plddt_normalized	mean_interface_gpde	full_connected_zero_clash_clean_models	main_topology_cluster_size	topology_cluster_sizes	af3_protenix_contact_jaccard	shared_nonvdw_position_type_count	representative_seed	representative_cif_path	gate_protenix_5_seeds	gate_protenix_5of5_geometry_clean	gate_protenix_mean_iptm_ge0p70	gate_protenix_median_iptm_ge0p70	gate_protenix_min_iptm_ge0p60	gate_protenix_mean_weakest_ge0p65	gate_protenix_mean_ptm_ge0p82	gate_protenix_mean_plddt_ge0p85	gate_protenix_mean_interface_pae_le7p5	gate_protenix_main_cluster_ge4	gate_protenix_af3_jaccard_ge0p40	gate_protenix_shared_nonvdw_ge8	crossmodel_validated	failed_protenix_gates
OVA-C4-IPTM80-20A	5	11,21,31,41,51	0.6008326649665833	0.6084041595458984	0.3644248843193054	0.5983425915241242	0.686803650856018	0.8609869689941406	6.475936648845672	0	5	5	0.8763636363636363	14	11	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_20a_protenix/seed_11/predictions/ova_iptm80_ova_c4_iptm80_20a_protenix_sample_0.cif	1	0	0	0	0	0	0	1	1	1	1	1	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82
OVA-C4-IPTM80-21B	5	11,21,31,41,51	0.7482784390449524	0.7852120399475098	0.6572490930557251	0.7202242016792297	0.7973600387573242	0.8718745727539062	3.477937412261963	0	5	5	0.6570397111913358	12	11	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_21b_protenix/seed_11/predictions/ova_iptm80_ova_c4_iptm80_21b_protenix_sample_0.cif	1	0	1	1	1	1	0	1	1	1	1	1	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_ptm_ge0p82
OVA-C4-IPTM80-21C	5	11,21,31,41,51	0.4059423327445984	0.4000166058540344	0.3709214925765991	0.5086375772953033	0.5394436001777649	0.8436435699462891	9.776491403579712	0	2	2,2,1	0.23492063492063492	5	21	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_21c_protenix/seed_21/predictions/ova_iptm80_ova_c4_iptm80_21c_protenix_sample_0.cif	1	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-20D	5	11,21,31,41,51	0.39543991088867186	0.3917195498943329	0.37817883491516113	0.4907903492450714	0.5316399216651917	0.8401600341796875	10.211633801460266	0	4	4,1	0.18052738336713997	3	21	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_20d_protenix/seed_21/predictions/ova_iptm80_ova_c4_iptm80_20d_protenix_sample_0.cif	1	0	0	0	0	0	0	0	0	1	0	0	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21E	5	11,21,31,41,51	0.40537463426589965	0.3890395164489746	0.3793550133705139	0.51700439453125	0.5390721440315247	0.842339096069336	10.082893514633179	0	3	3,1,1	0.16956521739130434	2	21	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_21e_protenix/seed_21/predictions/ova_iptm80_ova_c4_iptm80_21e_protenix_sample_0.cif	1	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-19F	5	11,21,31,41,51	0.49271680116653443	0.4653635025024414	0.376058965921402	0.5964127779006958	0.605252468585968	0.8493506622314453	8.515858189264932	0	2	2,2,1	0.8145454545454546	12	11	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_19f_protenix/seed_11/predictions/ova_iptm80_ova_c4_iptm80_19f_protenix_sample_0.cif	1	0	0	0	0	0	0	0	0	0	1	1	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4
OVA-C4-IPTM80-21G	5	11,21,31,41,51	0.3428593575954437	0.3479412794113159	0.3092493712902069	0.43943244218826294	0.491702139377594	0.8323756408691406	11.350949716567992	0	2	2,1,1,1	0.15132924335378323	2	11	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_21g_protenix/seed_11/predictions/ova_iptm80_ova_c4_iptm80_21g_protenix_sample_0.cif	1	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21H	5	11,21,31,41,51	0.3805539429187775	0.3534368872642517	0.34670302271842957	0.44559864401817323	0.5220911562442779	0.8456322021484375	9.786110385258992	0	1	1,1,1,1,1	0.2710843373493976	7	11	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_21h_protenix/seed_11/predictions/ova_iptm80_ova_c4_iptm80_21h_protenix_sample_0.cif	1	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21I	5	11,21,31,41,51	0.5823085844516754	0.6688290238380432	0.3132239878177643	0.6322520434856415	0.672800213098526	0.8560707550048828	6.925540895462036	1	4	4,1	0.48703170028818443	15	11	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_21i_protenix/seed_11/predictions/ova_iptm80_ova_c4_iptm80_21i_protenix_sample_0.cif	1	0	0	0	0	0	0	1	1	1	1	1	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82
OVA-C4-IPTM80-19J	5	11,21,31,41,51	0.5389923214912414	0.5552055239677429	0.4860132932662964	0.5638634979724884	0.6392888426780701	0.855690200805664	5.568220913410187	0	2	2,2,1	0.2044334975369458	5	21	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_19j_protenix/seed_21/predictions/ova_iptm80_ova_c4_iptm80_19j_protenix_sample_0.cif	1	0	0	0	0	0	0	1	1	0	0	0	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-19K	5	11,21,31,41,51	0.7880851030349731	0.8068382143974304	0.743949294090271	0.7568390250205994	0.8304056882858276	0.877588134765625	2.805043818950653	0	5	5	0.6560283687943262	8	21	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_19k_protenix/seed_21/predictions/ova_iptm80_ova_c4_iptm80_19k_protenix_sample_0.cif	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_protenix_5of5_geometry_clean
OVA-C4-IPTM80-19L	5	11,21,31,41,51	0.4286567270755768	0.4511626064777374	0.3391510546207428	0.5536085903644562	0.5572742640972137	0.8539654541015625	9.400009417533875	0	4	4,1	0.2181372549019608	1	11	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_19l_protenix/seed_11/predictions/ova_iptm80_ova_c4_iptm80_19l_protenix_sample_0.cif	1	0	0	0	0	0	0	1	0	1	0	0	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_interface_pae_le7p5;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21M	5	11,21,31,41,51	0.39133601188659667	0.39688462018966675	0.3769717216491699	0.48373711109161377	0.5281466007232666	0.8364103546142578	9.696061706542968	1	4	4,1	0.16666666666666666	3	41	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_21m_protenix/seed_41/predictions/ova_iptm80_ova_c4_iptm80_21m_protenix_sample_0.cif	1	0	0	0	0	0	0	0	0	1	0	0	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-20N	5	11,21,31,41,51	0.6335937261581421	0.7122889161109924	0.49183303117752075	0.6558205008506774	0.7110008835792542	0.8593099365234375	5.9322838703791305	0	5	5	0.5777777777777777	12	11	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_20n_protenix/seed_11/predictions/ova_iptm80_ova_c4_iptm80_20n_protenix_sample_0.cif	1	0	0	1	0	1	0	1	1	1	1	1	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_ptm_ge0p82
OVA-C4-IPTM80-20O	5	11,21,31,41,51	0.5371508240699768	0.5451492667198181	0.4969223737716675	0.5704399824142456	0.6388830304145813	0.8565636749267578	5.746892404556275	0	4	4,1	0.2388758782201405	3	21	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_20o_protenix/seed_21/predictions/ova_iptm80_ova_c4_iptm80_20o_protenix_sample_0.cif	1	0	0	0	0	0	0	1	1	1	0	0	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21P	5	11,21,31,41,51	0.541416484117508	0.5582113265991211	0.4076213836669922	0.5903202295303345	0.6420484066009522	0.8512771453857422	7.497118624051412	0	3	3,2	0.43962848297213625	15	51	experiments/e150_final20_protenix_multiseed_v1/out/ova_iptm80_ova_c4_iptm80_21p_protenix/seed_51/predictions/ova_iptm80_ova_c4_iptm80_21p_protenix_sample_0.cif	1	0	0	0	0	0	0	1	1	0	1	1	0	gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_main_cluster_ge4
