system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path
ova_body_c4_07	seed-1_sample-0	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,6	1	198	43	12	0.6666666666666666	182,191,271,276,278,341,342,345,346,347,350,354	4	0	89.89568651278401	89.83746101695638	1.5908050668377514	1.5966546006071018	/root/400083/ova_p3_tetramer_design/experiments/e174_c4_073_multihit_ai_af3_seed1/out_s6/ova_body_c4_07/seed-1_sample-0/ova_body_c4_07_seed-1_sample-0_model.cif
ova_body_c4_07	seed-1_sample-1	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,7	1	237	48	13	0.7222222222222222	182,191,271,276,278,341,342,345,346,347,349,350,354	4	0	90.30388598367958	90.239015460632	1.5365947046876625	1.5436340138747562	/root/400083/ova_p3_tetramer_design/experiments/e174_c4_073_multihit_ai_af3_seed1/out_s6/ova_body_c4_07/seed-1_sample-1/ova_body_c4_07_seed-1_sample-1_model.cif
ova_body_c4_07	seed-1_sample-2	0.83	0.86	4	0	4	4	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,7	1	228	49	13	0.7222222222222222	182,191,271,276,278,341,342,345,346,347,349,350,354	4	0	90.19819946980847	90.15248688020854	1.563327705996744	1.5734129331322424	/root/400083/ova_p3_tetramer_design/experiments/e174_c4_073_multihit_ai_af3_seed1/out_s6/ova_body_c4_07/seed-1_sample-2/ova_body_c4_07_seed-1_sample-2_model.cif
ova_body_c4_07	seed-1_sample-3	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,7,6	1	214	47	12	0.6666666666666666	182,191,271,276,278,341,342,345,346,347,350,354	4	0	90.06776557932245	90.01321239174956	1.5967526896885382	1.6026935203713528	/root/400083/ova_p3_tetramer_design/experiments/e174_c4_073_multihit_ai_af3_seed1/out_s6/ova_body_c4_07/seed-1_sample-3/ova_body_c4_07_seed-1_sample-3_model.cif
ova_body_c4_07	seed-1_sample-4	0.85	0.87	4	0	4	4	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,7	1	249	54	13	0.7222222222222222	182,191,271,276,278,341,342,345,346,347,349,350,354	4	0	89.72369816389727	89.68038860380341	1.592970485512915	1.5968673173507377	/root/400083/ova_p3_tetramer_design/experiments/e174_c4_073_multihit_ai_af3_seed1/out_s6/ova_body_c4_07/seed-1_sample-4/ova_body_c4_07_seed-1_sample-4_model.cif
ova_body_c4_15	seed-1_sample-0	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,7,7	1	216	47	15	0.75	99,182,191,271,276,278,342,345,346,347,348,349,350,354,356	4	0	90.79062825039878	90.75349749431709	1.7440222946858281	1.7505831146897266	/root/400083/ova_p3_tetramer_design/experiments/e174_c4_073_multihit_ai_af3_seed1/out_s6/ova_body_c4_15/seed-1_sample-0/ova_body_c4_15_seed-1_sample-0_model.cif
ova_body_c4_15	seed-1_sample-1	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,7,8	1	253	53	15	0.75	99,182,191,271,276,278,342,345,346,347,348,349,350,354,356	4	0	90.4429792764891	90.39453384913311	1.8005953547041864	1.8106613741783997	/root/400083/ova_p3_tetramer_design/experiments/e174_c4_073_multihit_ai_af3_seed1/out_s6/ova_body_c4_15/seed-1_sample-1/ova_body_c4_15_seed-1_sample-1_model.cif
ova_body_c4_15	seed-1_sample-2	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,7,7	1	234	49	14	0.7	99,182,191,271,278,342,345,346,347,348,349,350,354,356	4	0	90.79149618049978	90.7461917560953	1.6877690103554615	1.6931740503349946	/root/400083/ova_p3_tetramer_design/experiments/e174_c4_073_multihit_ai_af3_seed1/out_s6/ova_body_c4_15/seed-1_sample-2/ova_body_c4_15_seed-1_sample-2_model.cif
ova_body_c4_15	seed-1_sample-3	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,7,7	1	210	44	14	0.7	99,182,191,271,278,342,345,346,347,348,349,350,354,356	4	0	90.99507780272725	90.9574869580837	1.717231829247793	1.718973563854928	/root/400083/ova_p3_tetramer_design/experiments/e174_c4_073_multihit_ai_af3_seed1/out_s6/ova_body_c4_15/seed-1_sample-3/ova_body_c4_15_seed-1_sample-3_model.cif
ova_body_c4_15	seed-1_sample-4	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,7,7	1	217	47	15	0.75	99,182,191,271,276,278,342,345,346,347,348,349,350,354,356	4	0	90.77242871763792	90.74520718866061	1.726553912720531	1.734053085560348	/root/400083/ova_p3_tetramer_design/experiments/e174_c4_073_multihit_ai_af3_seed1/out_s6/ova_body_c4_15/seed-1_sample-4/ova_body_c4_15_seed-1_sample-4_model.cif
