system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path
ova_body_c4_01	seed-1_sample-0	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	3,8,6	1	249	51	14	0.7777777777777778	99,191,271,276,278,342,343,345,346,347,348,349,350,356	4	0	89.972558256258	89.92735752046417	1.6532313121427984	1.6575017658954476	experiments/e252_c4_epistasis_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif
ova_body_c4_01	seed-1_sample-1	0.83	0.86	4	0	4	4	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	3,8,6	1	254	54	14	0.7777777777777778	99,191,271,276,278,342,343,345,346,347,348,349,350,356	4	0	89.64636007368256	89.60948182140608	1.7633073818062532	1.7717831391536984	experiments/e252_c4_epistasis_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
ova_body_c4_01	seed-1_sample-2	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,8,6	1	243	52	14	0.7777777777777778	99,191,271,276,278,342,343,345,346,347,348,349,350,356	4	0	89.90739639064807	89.85961139263884	1.6459641950153436	1.6513434841333652	experiments/e252_c4_epistasis_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
ova_body_c4_01	seed-1_sample-3	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,8,6	1	240	49	14	0.7777777777777778	99,191,271,276,278,342,343,345,346,347,348,349,350,356	4	0	90.07768777244449	90.03854899826445	1.6626595105510982	1.665703925165736	experiments/e252_c4_epistasis_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif
ova_body_c4_01	seed-1_sample-4	0.83	0.85	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,8,6	1	258	51	14	0.7777777777777778	99,191,271,276,278,342,343,345,346,347,348,349,350,356	4	0	89.71969563973383	89.65207264954562	1.6681167493114486	1.6797308937804079	experiments/e252_c4_epistasis_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
ova_body_c4_02	seed-1_sample-0	0.85	0.87	9	0	9	9	0	5	A-C,A-D,B-C,B-D,C-D	4	2	1	3	2,2,1	A-C,B-D|A-D,B-C|C-D	8,9,1	1	263	49	14	0.7777777777777778	182,191,271,278,341,342,343,345,346,347,348,349,350,354	4	0	91.2610685664755	91.23510349846875	1.5403174547844785	1.546554327512972	experiments/e252_c4_epistasis_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_model.cif
ova_body_c4_02	seed-1_sample-1	0.85	0.88	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	8,9	1	254	48	15	0.8333333333333334	182,191,271,276,278,341,342,343,345,346,347,348,349,350,354	4	0	91.53849749491005	91.49725395163107	1.5194190908092986	1.5272573645787646	experiments/e252_c4_epistasis_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_model.cif
ova_body_c4_02	seed-1_sample-2	0.85	0.87	4	0	4	4	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	8,9	1	267	48	14	0.7777777777777778	182,191,271,278,341,342,343,345,346,347,348,349,350,354	4	0	91.57475390706037	91.55601034016189	1.546360253734353	1.557473772387114	experiments/e252_c4_epistasis_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_model.cif
ova_body_c4_02	seed-1_sample-3	0.85	0.87	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	8,8	1	256	48	14	0.7777777777777778	182,191,271,278,341,342,343,345,346,347,348,349,350,354	4	0	91.42680058454603	91.41357523666144	1.5587245722297032	1.5641104954775658	experiments/e252_c4_epistasis_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_model.cif
ova_body_c4_02	seed-1_sample-4	0.85	0.88	2	0	2	2	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,8,9	1	288	53	14	0.7777777777777778	182,191,271,278,341,342,343,345,346,347,348,349,350,354	4	0	91.36569955806041	91.33437821778608	1.5792700607352264	1.585762835088845	experiments/e252_c4_epistasis_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_model.cif
ova_body_c4_03	seed-1_sample-0	0.84	0.86	0	0	0	0	0	4	A-B,A-C,B-D,C-D	4	2	1	2	2,2	A-B,C-D|A-C,B-D	3,8	1	230	47	13	0.7647058823529411	191,271,276,278,341,342,343,345,346,347,348,350,354	4	0	90.35052458362875	90.27386002219403	1.5880066083336613	1.594827938538787	experiments/e252_c4_epistasis_ai_af3_seed1/out_s2/ova_body_c4_03/seed-1_sample-0/ova_body_c4_03_seed-1_sample-0_model.cif
ova_body_c4_03	seed-1_sample-1	0.84	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	3,7,6	1	241	49	13	0.7647058823529411	191,271,276,278,341,342,343,345,346,347,348,350,354	4	0	90.55040799768477	90.48139897282259	1.5753207917972996	1.5890996895936202	experiments/e252_c4_epistasis_ai_af3_seed1/out_s2/ova_body_c4_03/seed-1_sample-1/ova_body_c4_03_seed-1_sample-1_model.cif
ova_body_c4_03	seed-1_sample-2	0.84	0.87	4	0	4	4	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	3,7,7	1	245	46	13	0.7647058823529411	191,271,276,278,341,342,343,345,346,347,348,350,354	4	0	90.83309588654672	90.78284972195799	1.6205108834425201	1.6307000884958047	experiments/e252_c4_epistasis_ai_af3_seed1/out_s2/ova_body_c4_03/seed-1_sample-2/ova_body_c4_03_seed-1_sample-2_model.cif
ova_body_c4_03	seed-1_sample-3	0.85	0.87	1	0	1	1	0	5	A-B,A-C,B-C,B-D,C-D	4	2	1	3	2,2,1	A-B,C-D|A-C,B-D|B-C	3,8,6	1	257	47	13	0.7647058823529411	191,271,276,278,341,342,343,345,346,347,348,350,354	4	0	90.71887302151616	90.66569949925872	1.594220206815451	1.601186626013686	experiments/e252_c4_epistasis_ai_af3_seed1/out_s2/ova_body_c4_03/seed-1_sample-3/ova_body_c4_03_seed-1_sample-3_model.cif
ova_body_c4_03	seed-1_sample-4	0.84	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	3,8,7	1	252	52	14	0.8235294117647058	191,271,276,278,341,342,343,345,346,347,348,349,350,354	4	0	90.3188147717807	90.27012956451257	1.6407579844106914	1.6503244699799726	experiments/e252_c4_epistasis_ai_af3_seed1/out_s2/ova_body_c4_03/seed-1_sample-4/ova_body_c4_03_seed-1_sample-4_model.cif
ova_body_c4_04	seed-1_sample-0	0.81	0.84	2	0	2	2	0	4	A-B,A-D,B-C,C-D	4	2	1	2	2,2	A-B,C-D|A-D,B-C	3,10	1	235	47	15	0.7142857142857143	99,182,191,271,276,278,341,342,343,345,346,347,348,350,354	4	0	90.12354282270441	90.00943006999752	1.5992251127006636	1.6081814903552796	experiments/e252_c4_epistasis_ai_af3_seed1/out_s3/ova_body_c4_04/seed-1_sample-0/ova_body_c4_04_seed-1_sample-0_model.cif
ova_body_c4_04	seed-1_sample-1	0.83	0.86	45	0	45	45	0	4	A-B,A-D,B-C,C-D	4	2	1	2	2,2	A-B,C-D|A-D,B-C	3,10	1	242	45	16	0.7619047619047619	99,182,191,271,276,278,341,342,343,345,346,347,348,350,354,356	4	0	89.92947549770533	89.82875644110645	1.702319269797811	1.7160994029847387	experiments/e252_c4_epistasis_ai_af3_seed1/out_s3/ova_body_c4_04/seed-1_sample-1/ova_body_c4_04_seed-1_sample-1_model.cif
