candidate	seed	n_models	mean_iptm	min_iptm	max_iptm
OVA-C4-IPTM80-19A	1	5	0.818	0.81	0.82
OVA-C4-IPTM80-19A	2	5	0.812	0.81	0.82
OVA-C4-IPTM80-19A	3	5	0.8160000000000001	0.81	0.82
OVA-C4-IPTM80-19A	4	5	0.8160000000000001	0.8	0.83
OVA-C4-IPTM80-19A	5	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-19B	1	5	0.818	0.81	0.83
OVA-C4-IPTM80-19B	2	5	0.834	0.83	0.84
OVA-C4-IPTM80-19B	3	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-19B	4	5	0.818	0.8	0.83
OVA-C4-IPTM80-19B	5	5	0.782	0.76	0.79
OVA-C4-IPTM80-19C	1	5	0.8099999999999999	0.8	0.83
OVA-C4-IPTM80-19C	2	5	0.818	0.81	0.82
OVA-C4-IPTM80-19C	3	5	0.8160000000000001	0.81	0.82
OVA-C4-IPTM80-19C	4	5	0.8100000000000002	0.81	0.81
OVA-C4-IPTM80-19C	5	5	0.748	0.73	0.76
