system	model	n_chains	iptm	ptm	min_ova_plddt	min_module_plddt	min_binder_plddt	ranking_score	has_clash	contact_edges	largest_component	full_connected	module_full_connected	total_contacts	ova_contacts	module_contacts	min_incident_iptm	contact_pair_iptm_median	contact_pair_pae_median	contacts_json	interface_residues_json	summary_path	cif_path
ova_body_c4_06_ms25_r04_c1	seed-1_sample-0	1	0.0	0.92	91.00764230125309	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-1_sample-0/ova_body_c4_06_ms25_r04_c1_seed-1_sample-0_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-1_sample-0/ova_body_c4_06_ms25_r04_c1_seed-1_sample-0_model.cif
ova_body_c4_06_ms25_r04_c1	seed-1_sample-1	1	0.0	0.92	90.65453386059697	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-1_sample-1/ova_body_c4_06_ms25_r04_c1_seed-1_sample-1_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-1_sample-1/ova_body_c4_06_ms25_r04_c1_seed-1_sample-1_model.cif
ova_body_c4_06_ms25_r04_c1	seed-1_sample-2	1	0.0	0.92	90.80487028922441	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-1_sample-2/ova_body_c4_06_ms25_r04_c1_seed-1_sample-2_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-1_sample-2/ova_body_c4_06_ms25_r04_c1_seed-1_sample-2_model.cif
ova_body_c4_06_ms25_r04_c1	seed-1_sample-3	1	0.0	0.92	90.89621754384412	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-1_sample-3/ova_body_c4_06_ms25_r04_c1_seed-1_sample-3_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-1_sample-3/ova_body_c4_06_ms25_r04_c1_seed-1_sample-3_model.cif
ova_body_c4_06_ms25_r04_c1	seed-1_sample-4	1	0.0	0.92	90.82067370044135	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-1_sample-4/ova_body_c4_06_ms25_r04_c1_seed-1_sample-4_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-1_sample-4/ova_body_c4_06_ms25_r04_c1_seed-1_sample-4_model.cif
ova_body_c4_06_ms25_r04_c1	seed-2_sample-0	1	0.0	0.92	90.7037822446675	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-2_sample-0/ova_body_c4_06_ms25_r04_c1_seed-2_sample-0_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-2_sample-0/ova_body_c4_06_ms25_r04_c1_seed-2_sample-0_model.cif
ova_body_c4_06_ms25_r04_c1	seed-2_sample-1	1	0.0	0.92	91.23090671875316	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-2_sample-1/ova_body_c4_06_ms25_r04_c1_seed-2_sample-1_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-2_sample-1/ova_body_c4_06_ms25_r04_c1_seed-2_sample-1_model.cif
ova_body_c4_06_ms25_r04_c1	seed-2_sample-2	1	0.0	0.92	90.6296371104186	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-2_sample-2/ova_body_c4_06_ms25_r04_c1_seed-2_sample-2_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-2_sample-2/ova_body_c4_06_ms25_r04_c1_seed-2_sample-2_model.cif
ova_body_c4_06_ms25_r04_c1	seed-2_sample-3	1	0.0	0.92	91.2146632238991	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-2_sample-3/ova_body_c4_06_ms25_r04_c1_seed-2_sample-3_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-2_sample-3/ova_body_c4_06_ms25_r04_c1_seed-2_sample-3_model.cif
ova_body_c4_06_ms25_r04_c1	seed-2_sample-4	1	0.0	0.92	90.94033675119667	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-2_sample-4/ova_body_c4_06_ms25_r04_c1_seed-2_sample-4_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/current_pending_v1_screen/ova_body_c4_06_ms25_r04/stoichiometry_af3/out_s0/ova_body_c4_06_ms25_r04_c1/seed-2_sample-4/ova_body_c4_06_ms25_r04_c1_seed-2_sample-4_model.cif
