candidate	c4_n_models	c4_mean_iptm	c1_n_models	c1_mean_ptm	c1_mean_plddt	c1_mean_ca_rmsd_to_1ova	c1_max_ca_rmsd_to_1ova	c2_n_models	c2_mean_iptm	c3_n_models	c3_mean_iptm	c5_n_models	c5_mean_iptm	c6_n_models	c6_mean_iptm	c3_high_connected_fraction	c5_high_connected_fraction	c6_high_connected_fraction	c3_high_any_fraction	c5_high_any_fraction	c6_high_any_fraction	c4_specificity_margin	c4_second_interface_unique_vs_c2_models	gate_stoich_complete_15_models_each	gate_stoich_specificity_ge0p15	gate_stoich_c3_c5_c6_mean_below0p65	gate_stoich_c3_c5_c6_high_connected_le0p20	gate_stoich_no_disconnected_high_conf_competitor	gate_stoich_c1_ptm_ge0p88	gate_stoich_c1_plddt_ge85	gate_stoich_c1_max_rmsd_le2	gate_stoich_second_interface_unique_ge20of25	stoichiometry_pass	failed_stoichiometry_gates
OVA-C4-IPTM80-20A	25	0.8468	15	0.9206666666666667	91.13102941826011	1.6337105378901282	1.7011483437684334	15	0.33066666666666666	15	0.164	15	0.478	15	0.36533333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.3688	25	1	1	1	1	1	1	1	1	1	1	
OVA-C4-IPTM80-21B	25	0.8408	15	0.92	90.86641105361964	1.6856006732804267	1.7388618844358232	15	0.35333333333333333	15	0.2633333333333333	15	0.46266666666666667	15	0.37933333333333336	0.0	0.0	0.0	0.0	0.0	0.0	0.3781333333333333	25	1	1	1	1	1	1	1	1	1	1	
OVA-C4-IPTM80-21C	25	0.8363999999999999	15	0.92	90.99563552942095	1.6436406011849456	1.84974786363325	15	0.3433333333333333	15	0.18266666666666667	15	0.448	15	0.28933333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.3883999999999999	25	1	1	1	1	1	1	1	1	1	1	
OVA-C4-IPTM80-20D	25	0.8316	15	0.92	91.26971498169841	1.6524074951580539	1.7535072285039677	15	0.214	15	0.17	15	0.38466666666666666	15	0.35133333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.44693333333333335	25	1	1	1	1	1	1	1	1	1	1	
OVA-C4-IPTM80-21E	25	0.8308	15	0.92	90.99122280028611	1.6523805901791797	1.8527875244407672	15	0.294	15	0.18	15	0.41333333333333333	15	0.32666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.41746666666666665	25	1	1	1	1	1	1	1	1	1	1	
OVA-C4-IPTM80-19F	25	0.824	15	0.92	90.76805704904137	1.7811510653679885	1.9682965532837402	15	0.2693333333333333	15	0.16466666666666666	15	0.4046666666666667	15	0.4706666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.3533333333333333	25	1	1	1	1	1	1	1	1	1	1	
OVA-C4-IPTM80-21G	25	0.8231999999999999	15	0.9193333333333333	91.07379271617619	1.7095790185013326	1.8897535361069495	15	0.18133333333333335	15	0.17	15	0.428	15	0.2986666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.39519999999999994	25	1	1	1	1	1	1	1	1	1	1	
OVA-C4-IPTM80-21H	25	0.8224	15	0.92	91.26471499046102	1.650111878549767	1.7040525619834734	15	0.20400000000000001	15	0.17133333333333334	15	0.44133333333333336	15	0.3393333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.38106666666666666	25	1	1	1	1	1	1	1	1	1	1	
OVA-C4-IPTM80-21I	25	0.822	15	0.92	90.91594644951697	1.749973154506793	1.8548884104781893	15	0.2906666666666667	15	0.16133333333333333	15	0.42533333333333334	15	0.4046666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.3966666666666666	25	1	1	1	1	1	1	1	1	1	1	
OVA-C4-IPTM80-19J	25	0.8216	15	0.92	91.31766838772103	1.6823150437733434	1.7690688546635687	15	0.21	15	0.16733333333333333	15	0.3933333333333333	15	0.47733333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.34426666666666667	25	1	1	1	1	1	1	1	1	1	1	
OVA-C4-IPTM80-19K	25	0.8168	15	0.92	90.93796371763028	1.6822758531487243	1.7339972361806069	15	0.448	15	0.21333333333333335	15	0.38266666666666665	15	0.4926666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.3241333333333333	25	1	1	1	1	1	1	1	1	1	1	
