system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path
ova_body_c4_01	seed-1_sample-0	0.83	0.86	0	0	0	0	0	5	A-C,A-D,B-C,B-D,C-D	4	2	1	3	2,2,1	A-C,B-D|A-D,B-C|C-D	5,10,1	1	245	48	13	0.7222222222222222	191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	90.19925515762883	90.12955965032232	1.5538342062394361	1.558401463153625	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif
ova_body_c4_01	seed-1_sample-1	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,5,8	1	245	50	13	0.7222222222222222	191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	89.91006482573988	89.85702076847689	1.5484574449196344	1.5550797441769166	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
ova_body_c4_01	seed-1_sample-2	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,9	1	238	48	13	0.7222222222222222	191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	90.08149602376118	90.0330308904302	1.562325290655793	1.5630754565248701	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
ova_body_c4_01	seed-1_sample-3	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,9	1	251	51	13	0.7222222222222222	191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	90.14695593730156	90.09124339800425	1.5717047600304315	1.5773857952403063	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif
ova_body_c4_01	seed-1_sample-4	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,8	1	241	49	13	0.7222222222222222	191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	90.05536270635733	90.00759079295736	1.6010764952328476	1.6063452805178073	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
ova_body_c4_02	seed-1_sample-0	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,5,8	1	213	44	13	0.7647058823529411	182,191,271,276,278,342,345,346,347,349,350,354,356	4	0	90.48972792452481	90.42202070957639	1.6735036444993403	1.679982779261111	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_model.cif
ova_body_c4_02	seed-1_sample-1	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,5,8	1	222	47	13	0.7647058823529411	182,191,271,276,278,342,345,346,347,349,350,354,356	4	0	90.59350379884552	90.48632126645103	1.6816629130094565	1.6888633288201786	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_model.cif
ova_body_c4_02	seed-1_sample-2	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,5,8	1	224	46	13	0.7647058823529411	182,191,271,276,278,342,345,346,347,349,350,354,356	4	0	90.65895724173036	90.58443015103514	1.684533211531724	1.6925255100264347	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_model.cif
ova_body_c4_02	seed-1_sample-3	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,5,8	1	213	44	13	0.7647058823529411	182,191,271,276,278,342,345,346,347,349,350,354,356	4	0	90.47366572661721	90.3838081853995	1.6886429385982848	1.696451590297463	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_model.cif
ova_body_c4_02	seed-1_sample-4	0.86	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,5,8	1	237	51	13	0.7647058823529411	182,191,271,276,278,342,345,346,347,349,350,354,356	4	0	90.49058948773794	90.42468911007896	1.7519906769622842	1.7591176877906771	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_model.cif
