system	model	n_chains	iptm	ptm	min_ova_plddt	min_module_plddt	min_binder_plddt	ranking_score	has_clash	contact_edges	largest_component	full_connected	module_full_connected	total_contacts	ova_contacts	module_contacts	min_incident_iptm	contact_pair_iptm_median	contact_pair_pae_median	contacts_json	interface_residues_json	summary_path	cif_path
ova_body_c4_01	seed-1_sample-0	4	0.32	0.47	80.65424881574404	nan	nan	0.35	0.0	6	4	1	0	384	384	0	0.29	0.265	18.68	"{""A-B"": 42, ""A-C"": 24, ""A-D"": 134, ""B-C"": 122, ""B-D"": 21, ""C-D"": 41}"	[1, 3, 4, 64, 65, 68, 69, 70, 72, 73, 74, 78, 79, 81, 82, 83, 85, 86, 89, 90, 93, 94, 96, 97, 98, 101, 110, 111, 113, 114, 116, 119, 120, 123, 124, 125, 132, 133, 134, 138, 141, 142, 145, 148, 149, 152, 153, 155, 156, 186, 217, 234, 236, 237, 238, 239, 241, 271, 275, 276, 277, 278, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 354, 372, 373, 375]	experiments/e92_d2_expanded_af3/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_summary_confidences.json	experiments/e92_d2_expanded_af3/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif
ova_body_c4_01	seed-1_sample-1	4	0.32	0.47	80.34619156437216	nan	nan	0.35	0.0	6	4	1	0	388	388	0	0.28	0.275	18.735	"{""A-B"": 55, ""A-C"": 26, ""A-D"": 115, ""B-C"": 109, ""B-D"": 27, ""C-D"": 56}"	[1, 2, 3, 4, 64, 65, 68, 69, 70, 73, 74, 78, 79, 81, 82, 83, 85, 86, 89, 90, 93, 94, 96, 97, 98, 101, 110, 111, 112, 113, 114, 116, 119, 120, 123, 124, 125, 131, 132, 134, 137, 138, 141, 142, 144, 145, 148, 149, 152, 153, 155, 156, 184, 186, 217, 234, 236, 237, 238, 239, 241, 271, 275, 276, 277, 278, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 354, 372, 373]	experiments/e92_d2_expanded_af3/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_summary_confidences.json	experiments/e92_d2_expanded_af3/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
ova_body_c4_01	seed-1_sample-2	4	0.33	0.47	80.09450776095217	nan	nan	0.36	0.0	6	4	1	0	254	254	0	0.42	0.195	19.42	"{""A-B"": 53, ""A-C"": 12, ""A-D"": 63, ""B-C"": 62, ""B-D"": 13, ""C-D"": 51}"	[85, 86, 89, 90, 92, 93, 94, 95, 96, 97, 110, 111, 112, 113, 114, 116, 119, 123, 124, 125, 127, 128, 131, 132, 133, 134, 137, 138, 141, 144, 145, 148, 149, 152, 153, 156, 184, 191, 192, 196, 208, 236, 237, 238, 239, 287, 334, 340, 341, 342, 343, 344, 345, 347, 348, 349, 373]	experiments/e92_d2_expanded_af3/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_summary_confidences.json	experiments/e92_d2_expanded_af3/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
ova_body_c4_01	seed-1_sample-3	4	0.34	0.47	80.13238330702707	nan	nan	0.36	0.0	6	4	1	0	318	318	0	0.43	0.2	19.34	"{""A-B"": 60, ""A-C"": 41, ""A-D"": 56, ""B-C"": 58, ""B-D"": 43, ""C-D"": 60}"	[89, 90, 92, 93, 94, 95, 96, 97, 98, 110, 111, 113, 114, 116, 119, 120, 123, 124, 127, 128, 131, 132, 133, 134, 137, 138, 141, 144, 145, 147, 148, 149, 151, 152, 153, 155, 156, 159, 160, 184, 186, 188, 191, 192, 196, 207, 208, 210, 236, 237, 238, 239, 287, 289, 334, 338, 339, 340, 341, 342, 344, 345, 346, 347, 348]	experiments/e92_d2_expanded_af3/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_summary_confidences.json	experiments/e92_d2_expanded_af3/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif
ova_body_c4_01	seed-1_sample-4	4	0.34	0.48	80.86272015349235	nan	nan	0.36	0.0	6	4	1	0	341	341	0	0.3	0.3	18.71	"{""A-B"": 36, ""A-C"": 8, ""A-D"": 133, ""B-C"": 123, ""B-D"": 8, ""C-D"": 33}"	[1, 2, 3, 4, 64, 65, 68, 70, 71, 73, 74, 78, 79, 81, 82, 83, 85, 86, 89, 90, 93, 94, 96, 97, 110, 111, 113, 114, 116, 119, 120, 123, 124, 125, 131, 132, 133, 134, 137, 138, 141, 144, 145, 148, 152, 155, 156, 186, 217, 234, 237, 238, 239, 241, 271, 275, 276, 277, 278, 340, 342, 343, 344, 345, 346, 347, 349, 350, 351, 354, 372, 373, 375]	experiments/e92_d2_expanded_af3/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_summary_confidences.json	experiments/e92_d2_expanded_af3/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
ova_body_c4_02	seed-1_sample-0	4	0.33	0.48	81.73036273897003	nan	nan	0.36	0.0	6	4	1	0	387	387	0	0.3	0.265	18.375	"{""A-B"": 40, ""A-C"": 24, ""A-D"": 132, ""B-C"": 129, ""B-D"": 21, ""C-D"": 41}"	[1, 3, 4, 64, 65, 68, 69, 70, 72, 73, 74, 78, 79, 81, 82, 83, 85, 86, 89, 90, 93, 94, 96, 97, 98, 101, 110, 111, 113, 114, 116, 119, 120, 121, 123, 124, 125, 132, 133, 134, 138, 141, 142, 145, 148, 149, 152, 153, 155, 156, 186, 217, 234, 236, 237, 238, 239, 241, 271, 275, 276, 277, 278, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 354, 372, 373, 375]	experiments/e92_d2_expanded_af3/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_summary_confidences.json	experiments/e92_d2_expanded_af3/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_model.cif
ova_body_c4_02	seed-1_sample-1	4	0.32	0.47	81.48059603340268	nan	nan	0.35	0.0	6	4	1	0	392	392	0	0.29	0.27	18.69	"{""A-B"": 51, ""A-C"": 26, ""A-D"": 119, ""B-C"": 114, ""B-D"": 29, ""C-D"": 53}"	[1, 2, 3, 4, 64, 65, 68, 69, 70, 73, 74, 78, 79, 81, 82, 83, 85, 86, 89, 90, 93, 94, 96, 97, 98, 101, 110, 111, 112, 113, 114, 116, 119, 120, 123, 124, 125, 131, 132, 134, 137, 138, 141, 142, 144, 145, 148, 149, 152, 153, 155, 156, 186, 217, 234, 236, 237, 238, 239, 241, 271, 275, 276, 277, 278, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 354, 372, 373]	experiments/e92_d2_expanded_af3/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_summary_confidences.json	experiments/e92_d2_expanded_af3/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_model.cif
ova_body_c4_02	seed-1_sample-2	4	0.33	0.47	81.19313462904698	nan	nan	0.36	0.0	6	4	1	0	239	239	0	0.39	0.2	18.555	"{""A-B"": 47, ""A-C"": 25, ""A-D"": 52, ""B-C"": 46, ""B-D"": 28, ""C-D"": 41}"	[85, 89, 93, 94, 96, 97, 110, 111, 112, 113, 114, 116, 119, 123, 124, 125, 127, 131, 132, 133, 134, 136, 137, 138, 141, 144, 145, 148, 151, 152, 153, 156, 157, 159, 184, 191, 192, 196, 208, 210, 236, 237, 238, 239, 287, 289, 334, 340, 341, 342, 343, 344, 346, 347, 348]	experiments/e92_d2_expanded_af3/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_summary_confidences.json	experiments/e92_d2_expanded_af3/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_model.cif
ova_body_c4_02	seed-1_sample-3	4	0.34	0.47	81.62805704502244	nan	nan	0.37	0.0	6	4	1	0	189	189	0	0.4	0.21	17.990000000000002	"{""A-B"": 45, ""A-C"": 31, ""A-D"": 20, ""B-C"": 20, ""B-D"": 28, ""C-D"": 45}"	[89, 93, 96, 97, 110, 111, 113, 114, 116, 119, 123, 124, 127, 131, 132, 133, 134, 136, 137, 138, 141, 144, 145, 148, 151, 152, 153, 156, 157, 159, 160, 184, 191, 192, 196, 207, 208, 210, 236, 287, 289, 334, 340, 341, 342, 343, 345, 346, 348]	experiments/e92_d2_expanded_af3/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_summary_confidences.json	experiments/e92_d2_expanded_af3/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_model.cif
ova_body_c4_02	seed-1_sample-4	4	0.33	0.48	81.86401561381285	nan	nan	0.36	0.0	6	4	1	0	364	364	0	0.31	0.28500000000000003	18.405	"{""A-B"": 42, ""A-C"": 9, ""A-D"": 134, ""B-C"": 125, ""B-D"": 14, ""C-D"": 40}"	[1, 2, 3, 4, 64, 65, 68, 70, 71, 73, 74, 78, 79, 81, 82, 83, 85, 86, 89, 90, 93, 94, 96, 110, 111, 113, 114, 116, 119, 120, 123, 124, 125, 131, 132, 134, 137, 138, 141, 142, 144, 145, 148, 149, 152, 155, 156, 186, 217, 234, 236, 237, 238, 239, 241, 271, 275, 276, 277, 278, 340, 341, 342, 343, 344, 345, 346, 347, 349, 350, 351, 354, 372, 373, 375]	experiments/e92_d2_expanded_af3/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_summary_confidences.json	experiments/e92_d2_expanded_af3/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_model.cif
