task_index	job_name	slurm_job_id	mode	status	note
0	ky-20260901-482	152138	073_af3ensemble_shared_parameter_multistate	COMPLETED	output_transferred_BB1_weights_7_5_best_min_AF2_iptm_0p315
1	ky-20260901-483	152139	073_af3ensemble_shared_parameter_multistate	COMPLETED	output_transferred_BB1_weights_5_7_best_min_AF2_iptm_0p502
2	ky-20260901-484	152140	073_af3ensemble_shared_parameter_multistate	COMPLETED	output_transferred_BB2_weights_7_5_best_min_AF2_iptm_0p326
3	ky-20260901-485	152141	073_af3ensemble_shared_parameter_multistate	COMPLETED	output_transferred_BB2_weights_5_7_best_min_AF2_iptm_0p277
4	ky-20260901-486	152142	073_af3ensemble_shared_parameter_multistate	COMPLETED	output_transferred_BB3_weights_7_5_best_min_AF2_iptm_0p189
5	ky-20260901-487	152143	073_af3ensemble_shared_parameter_multistate	COMPLETED	output_transferred_BB3_weights_5_7_best_min_AF2_iptm_0p154
6	ky-20260901-488	152144	073_af3ensemble_shared_parameter_multistate	COMPLETED	output_transferred_BB4_weights_7_5_best_min_AF2_iptm_0p180
7	ky-20260901-489	152145	073_af3ensemble_shared_parameter_multistate	COMPLETED	output_transferred_BB4_weights_5_7_best_min_AF2_iptm_0p139
0	ky-20260901-511	152165	073_af3ensemble_shared_parameter_multistate_v2	COMPLETED	output_transferred_BB1_weights_7_5_best_min_AF2_iptm_0p371
1	ky-20260901-512	152166	073_af3ensemble_shared_parameter_multistate_v2	COMPLETED	output_transferred_BB1_weights_5_7_best_min_AF2_iptm_0p156
2	ky-20260901-513	152167	073_af3ensemble_shared_parameter_multistate_v2	COMPLETED	output_transferred_BB2_weights_7_5_best_min_AF2_iptm_0p460
3	ky-20260901-514	152168	073_af3ensemble_shared_parameter_multistate_v2	COMPLETED	output_transferred_BB2_weights_5_7_best_min_AF2_iptm_0p144
4	ky-20260901-515	152169	073_af3ensemble_shared_parameter_multistate_v2	COMPLETED	output_transferred_BB3_weights_7_5_best_min_AF2_iptm_0p445
5	ky-20260901-516	152170	073_af3ensemble_shared_parameter_multistate_v2	COMPLETED	output_transferred_BB3_weights_5_7_best_min_AF2_iptm_0p167
6	ky-20260901-517	152171	073_af3ensemble_shared_parameter_multistate_v2	COMPLETED	output_transferred_BB4_weights_7_5_best_min_AF2_iptm_0p338
7	ky-20260901-518	152172	073_af3ensemble_shared_parameter_multistate_v2	COMPLETED	output_transferred_BB4_weights_5_7_best_min_AF2_iptm_0p133
0	ky-20260901-529	152209	073_af3ensemble_shared_parameter_multistate_v3	COMPLETED	output_transferred_BB1_weights_7_5_best_min_AF2_iptm_0p199
1	ky-20260901-530	152210	073_af3ensemble_shared_parameter_multistate_v3	COMPLETED	output_transferred_BB1_weights_5_7_best_min_AF2_iptm_0p289
2	ky-20260901-531	152211	073_af3ensemble_shared_parameter_multistate_v3	COMPLETED	output_transferred_BB2_weights_7_5_best_min_AF2_iptm_0p189
3	ky-20260901-532	152212	073_af3ensemble_shared_parameter_multistate_v3	COMPLETED	output_transferred_BB2_weights_5_7_best_min_AF2_iptm_0p143
4	ky-20260901-533	152213	073_af3ensemble_shared_parameter_multistate_v3	COMPLETED	output_transferred_BB3_weights_7_5_best_min_AF2_iptm_0p499
5	ky-20260901-534	152214	073_af3ensemble_shared_parameter_multistate_v3	COMPLETED	output_transferred_BB3_weights_5_7_best_min_AF2_iptm_0p202
6	ky-20260901-535	152215	073_af3ensemble_shared_parameter_multistate_v3	COMPLETED	output_transferred_BB4_weights_7_5_best_min_AF2_iptm_0p339
7	ky-20260901-536	152216	073_af3ensemble_shared_parameter_multistate_v3	COMPLETED	output_transferred_BB4_weights_5_7_best_min_AF2_iptm_0p195
0	ky-20260901-539	152267	073_af3ensemble_shared_parameter_multistate_v4	RUNNING	BB1_weights_7_5_seed_offset_18000
1	ky-20260901-540	152268	073_af3ensemble_shared_parameter_multistate_v4	RUNNING	BB1_weights_5_7_seed_offset_18000
2	ky-20260901-541	152269	073_af3ensemble_shared_parameter_multistate_v4	RUNNING	BB2_weights_7_5_seed_offset_18000
3	ky-20260901-542	152270	073_af3ensemble_shared_parameter_multistate_v4	RUNNING	BB2_weights_5_7_seed_offset_18000
4	ky-20260901-543	152271	073_af3ensemble_shared_parameter_multistate_v4	RUNNING	BB3_weights_7_5_seed_offset_18000
5	ky-20260901-544	152272	073_af3ensemble_shared_parameter_multistate_v4	RUNNING	BB3_weights_5_7_seed_offset_18000
6	ky-20260901-545	152273	073_af3ensemble_shared_parameter_multistate_v4	RUNNING	BB4_weights_7_5_seed_offset_18000
7	ky-20260901-546	152274	073_af3ensemble_shared_parameter_multistate_v4	RUNNING	BB4_weights_5_7_seed_offset_18000
0	ky-20260901-550	152296	073_af3ensemble_shared_parameter_multistate_v5	PENDING	BB1_weights_7_5_seed_offset_20000
1	ky-20260901-551	152297	073_af3ensemble_shared_parameter_multistate_v5	PENDING	BB1_weights_5_7_seed_offset_20000
2	ky-20260901-552	152298	073_af3ensemble_shared_parameter_multistate_v5	PENDING	BB2_weights_7_5_seed_offset_20000
3	ky-20260901-553	152299	073_af3ensemble_shared_parameter_multistate_v5	PENDING	BB2_weights_5_7_seed_offset_20000
4	ky-20260901-554	152300	073_af3ensemble_shared_parameter_multistate_v5	PENDING	BB3_weights_7_5_seed_offset_20000
5	ky-20260901-555	152301	073_af3ensemble_shared_parameter_multistate_v5	PENDING	BB3_weights_5_7_seed_offset_20000
6	ky-20260901-556	152302	073_af3ensemble_shared_parameter_multistate_v5	PENDING	BB4_weights_7_5_seed_offset_20000
7	ky-20260901-557	152303	073_af3ensemble_shared_parameter_multistate_v5	PENDING	BB4_weights_5_7_seed_offset_20000
0	ky-20260901-578	152400	073_af3ensemble_shared_parameter_multistate_v6	RUNNING	BB1_weights_7_5_seed_offset_24000_logits24_soft12_hard6
1	ky-20260901-579	152401	073_af3ensemble_shared_parameter_multistate_v6	RUNNING	BB1_weights_5_7_seed_offset_24000_logits24_soft12_hard6
2	ky-20260901-580	152402	073_af3ensemble_shared_parameter_multistate_v6	RUNNING	BB2_weights_7_5_seed_offset_24000_logits24_soft12_hard6
3	ky-20260901-581	152403	073_af3ensemble_shared_parameter_multistate_v6	RUNNING	BB2_weights_5_7_seed_offset_24000_logits24_soft12_hard6
4	ky-20260901-582	152404	073_af3ensemble_shared_parameter_multistate_v6	RUNNING	BB3_weights_7_5_seed_offset_24000_logits24_soft12_hard6
5	ky-20260901-583	152405	073_af3ensemble_shared_parameter_multistate_v6	RUNNING	BB3_weights_5_7_seed_offset_24000_logits24_soft12_hard6
6	ky-20260901-584	152406	073_af3ensemble_shared_parameter_multistate_v6	RUNNING	BB4_weights_7_5_seed_offset_24000_logits24_soft12_hard6
7	ky-20260901-585	152407	073_af3ensemble_shared_parameter_multistate_v6	PENDING	BB4_weights_5_7_seed_offset_24000_logits24_soft12_hard6
0	ky-20260901-594	152430	073_af3ensemble_shared_parameter_multistate_v7	PENDING	BB1_weights_7_5_seed_offset_26000_logits24_soft12_hard6
1	ky-20260901-595	152431	073_af3ensemble_shared_parameter_multistate_v7	PENDING	BB1_weights_5_7_seed_offset_26000_logits24_soft12_hard6
2	ky-20260901-596	152432	073_af3ensemble_shared_parameter_multistate_v7	PENDING	BB2_weights_7_5_seed_offset_26000_logits24_soft12_hard6
3	ky-20260901-597	152433	073_af3ensemble_shared_parameter_multistate_v7	PENDING	BB2_weights_5_7_seed_offset_26000_logits24_soft12_hard6
4	ky-20260901-598	152434	073_af3ensemble_shared_parameter_multistate_v7	PENDING	BB3_weights_7_5_seed_offset_26000_logits24_soft12_hard6
5	ky-20260901-599	152435	073_af3ensemble_shared_parameter_multistate_v7	PENDING	BB3_weights_5_7_seed_offset_26000_logits24_soft12_hard6
6	ky-20260901-600	152436	073_af3ensemble_shared_parameter_multistate_v7	PENDING	BB4_weights_7_5_seed_offset_26000_logits24_soft12_hard6
7	ky-20260901-601	152437	073_af3ensemble_shared_parameter_multistate_v7	PENDING	BB4_weights_5_7_seed_offset_26000_logits24_soft12_hard6
0	ky-20260901-602	152447	073_af3ensemble_shared_parameter_multistate_v8	PENDING	BB1_weights_7_5_seed_offset_28000_logits24_soft12_hard6
1	ky-20260901-603	152448	073_af3ensemble_shared_parameter_multistate_v8	PENDING	BB1_weights_5_7_seed_offset_28000_logits24_soft12_hard6
2	ky-20260901-604	152449	073_af3ensemble_shared_parameter_multistate_v8	PENDING	BB2_weights_7_5_seed_offset_28000_logits24_soft12_hard6
3	ky-20260901-605	152450	073_af3ensemble_shared_parameter_multistate_v8	PENDING	BB2_weights_5_7_seed_offset_28000_logits24_soft12_hard6
4	ky-20260901-606	152451	073_af3ensemble_shared_parameter_multistate_v8	PENDING	BB3_weights_7_5_seed_offset_28000_logits24_soft12_hard6
5	ky-20260901-607	152452	073_af3ensemble_shared_parameter_multistate_v8	PENDING	BB3_weights_5_7_seed_offset_28000_logits24_soft12_hard6
6	ky-20260901-608	152453	073_af3ensemble_shared_parameter_multistate_v8	PENDING	BB4_weights_7_5_seed_offset_28000_logits24_soft12_hard6
7	ky-20260901-609	152454	073_af3ensemble_shared_parameter_multistate_v8	PENDING	BB4_weights_5_7_seed_offset_28000_logits24_soft12_hard6
