system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path	validation_seed	source_table
ova_body_c4_01	seed-1_sample-0	0.85	0.88	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	6,9	1	244	48	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	91.09056347021784	91.01611394338657	1.571691458648137	1.5784059186544044	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s0/ova_body_c4_01_20260901_103354/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif	1	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/seed1_strict_s0/seed1_strict_per_model.tsv
ova_body_c4_01	seed-1_sample-1	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	256	48	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.984268156358	90.87961117838331	1.539836380913496	1.5464624101601383	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s0/ova_body_c4_01_20260901_103354/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif	1	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/seed1_strict_s0/seed1_strict_per_model.tsv
ova_body_c4_01	seed-1_sample-2	0.86	0.88	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	6,9	1	260	49	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	91.18733810266683	91.10468914842359	1.5708434416820527	1.5819612363441513	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s0/ova_body_c4_01_20260901_103354/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif	1	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/seed1_strict_s0/seed1_strict_per_model.tsv
ova_body_c4_01	seed-1_sample-3	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	259	50	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	91.07788217870683	90.9842487987459	1.5824022769910735	1.5873090305364579	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s0/ova_body_c4_01_20260901_103354/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif	1	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/seed1_strict_s0/seed1_strict_per_model.tsv
ova_body_c4_01	seed-1_sample-4	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,9	1	266	51	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	91.0264508613033	90.95512960364782	1.567006454346901	1.5748976797931244	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/out_s0/ova_body_c4_01_20260901_103354/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif	1	/root/400083/ova_p3_tetramer_design/experiments/e168_c4_073_reversion_ai_af3_seed1/seed1_strict_s0/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-2_sample-0	0.85	0.87	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	6,9	1	238	45	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	91.0556022984994	91.03064757431109	1.5775302111038776	1.582587662477945	experiments/e206_c4_e168_rev002_multiseed/out_s0/ova_body_c4_e168_rev002_ms/seed-2_sample-0/ova_body_c4_e168_rev002_ms_seed-2_sample-0_model.cif	2	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed2_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-2_sample-1	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,9	1	253	50	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.95223442136933	90.92772025271401	1.618628157172512	1.626857952391425	experiments/e206_c4_e168_rev002_multiseed/out_s0/ova_body_c4_e168_rev002_ms/seed-2_sample-1/ova_body_c4_e168_rev002_ms_seed-2_sample-1_model.cif	2	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed2_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-2_sample-2	0.86	0.88	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	6,9	1	240	46	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	91.15744822012945	91.13308291855253	1.5380538281993001	1.543537925842308	experiments/e206_c4_e168_rev002_multiseed/out_s0/ova_body_c4_e168_rev002_ms/seed-2_sample-2/ova_body_c4_e168_rev002_ms_seed-2_sample-2_model.cif	2	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed2_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-2_sample-3	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	257	49	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	91.07272018422735	91.03158034685362	1.5870809040883271	1.590147081611292	experiments/e206_c4_e168_rev002_multiseed/out_s0/ova_body_c4_e168_rev002_ms/seed-2_sample-3/ova_body_c4_e168_rev002_ms_seed-2_sample-3_model.cif	2	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed2_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-2_sample-4	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	251	48	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.88791446488139	90.85709840646062	1.559165112536569	1.563468752592888	experiments/e206_c4_e168_rev002_multiseed/out_s0/ova_body_c4_e168_rev002_ms/seed-2_sample-4/ova_body_c4_e168_rev002_ms_seed-2_sample-4_model.cif	2	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed2_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-3_sample-0	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	257	50	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.44784966404575	90.38950772853713	1.6148257404948365	1.6203814661393336	experiments/e206_c4_e168_rev002_multiseed/out_s1/ova_body_c4_e168_rev002_ms/seed-3_sample-0/ova_body_c4_e168_rev002_ms_seed-3_sample-0_model.cif	3	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed3_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-3_sample-1	0.86	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	252	48	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.58699475174741	90.53748697073348	1.5497654162418664	1.553351568751724	experiments/e206_c4_e168_rev002_multiseed/out_s1/ova_body_c4_e168_rev002_ms/seed-3_sample-1/ova_body_c4_e168_rev002_ms_seed-3_sample-1_model.cif	3	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed3_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-3_sample-2	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,9	1	247	50	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.86768126858331	90.8037562691486	1.5357478639989162	1.5444611388061524	experiments/e206_c4_e168_rev002_multiseed/out_s1/ova_body_c4_e168_rev002_ms/seed-3_sample-2/ova_body_c4_e168_rev002_ms_seed-3_sample-2_model.cif	3	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed3_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-3_sample-3	0.85	0.88	0	0	0	0	0	5	A-C,A-D,B-C,B-D,C-D	4	2	1	3	2,2,1	A-C,B-D|A-D,B-C|C-D	6,9,1	1	259	50	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.64268786425419	90.58746108613484	1.5787849224172397	1.5815082653078847	experiments/e206_c4_e168_rev002_multiseed/out_s1/ova_body_c4_e168_rev002_ms/seed-3_sample-3/ova_body_c4_e168_rev002_ms_seed-3_sample-3_model.cif	3	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed3_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-3_sample-4	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,9	1	249	49	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.9195013145091	90.86383437122088	1.5475198954228404	1.5491050168860827	experiments/e206_c4_e168_rev002_multiseed/out_s1/ova_body_c4_e168_rev002_ms/seed-3_sample-4/ova_body_c4_e168_rev002_ms_seed-3_sample-4_model.cif	3	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed3_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-4_sample-0	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	258	47	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.9222474197032	90.87577740763136	1.5200666500949103	1.5283420546612896	experiments/e206_c4_e168_rev002_multiseed/out_s2/ova_body_c4_e168_rev002_ms/seed-4_sample-0/ova_body_c4_e168_rev002_ms_seed-4_sample-0_model.cif	4	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed4_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-4_sample-1	0.86	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,9	1	247	49	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	91.17521367542484	91.16854909788141	1.6228594358644741	1.6298015534060974	experiments/e206_c4_e168_rev002_multiseed/out_s2/ova_body_c4_e168_rev002_ms/seed-4_sample-1/ova_body_c4_e168_rev002_ms_seed-4_sample-1_model.cif	4	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed4_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-4_sample-2	0.85	0.87	4	0	4	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	268	50	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	91.10316057155786	91.09774598432946	1.5430966631459015	1.5564065866831691	experiments/e206_c4_e168_rev002_multiseed/out_s2/ova_body_c4_e168_rev002_ms/seed-4_sample-2/ova_body_c4_e168_rev002_ms_seed-4_sample-2_model.cif	4	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed4_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-4_sample-3	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	247	48	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	91.02721506079243	91.01650276579387	1.5668829650572962	1.5707168321905864	experiments/e206_c4_e168_rev002_multiseed/out_s2/ova_body_c4_e168_rev002_ms/seed-4_sample-3/ova_body_c4_e168_rev002_ms_seed-4_sample-3_model.cif	4	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed4_strict/seed1_strict_per_model.tsv
ova_body_c4_e168_rev002_ms	seed-4_sample-4	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	257	50	13	0.8125	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	91.11801798973676	91.0983677108053	1.6199940625194944	1.6281408079790674	experiments/e206_c4_e168_rev002_multiseed/out_s2/ova_body_c4_e168_rev002_ms/seed-4_sample-4/ova_body_c4_e168_rev002_ms_seed-4_sample-4_model.cif	4	/root/400083/ova_p3_tetramer_design/experiments/e206_c4_e168_rev002_multiseed/seed4_strict/seed1_strict_per_model.tsv
